text,label
I just had my card get declined at the ATM! I need to get money out but I am unable to.  Why has this happened?,declined_cash_withdrawal
"If I exchange foreign currency, are there any other charges?",exchange_charge
"I recently purchased something, and the exchange rate was wrong.",card_payment_wrong_exchange_rate
What is the foreign exchange rate you will apply?,exchange_rate
Can i get money in my home currency at some ATM ? As I am on holiday and bit concerned because i do not have any cash with me . Is it possible to withdraw without any additional cost.,wrong_exchange_rate_for_cash_withdrawal
why isn't my top-up going through?,pending_top_up
Can you issue both a Visa and a Mastercard to me?,visa_or_mastercard
I want to cancel my account.,terminate_account
Why did my top-up not work?,top_up_failed
Why is there a direct debit set up in my name?,direct_debit_payment_not_recognised
How can I receive money?,receiving_money
I was under the impression ATM cash withdrawals were free. Why was I suddenly charged for my most recent ATM transaction?,cash_withdrawal_charge
"The disposable cards, what are they for?",get_disposable_virtual_card
I sent money to my family last Friday but they don't have it.,transfer_not_received_by_recipient
Does it cost anyting to get my own card?,order_physical_card
There are a few payments in the app that I didn't make! Does someone else have my card?  What should I do?,card_payment_not_recognised
where did my funds come from?,verify_source_of_funds
Duplicate transactions appear on my account,transaction_charged_twice
Can I top up with cash,top_up_by_cash_or_cheque
"Which card would I get, Visa or Mastercard?",visa_or_mastercard
Why isn't the transfer to my account showing up?,balance_not_updated_after_bank_transfer
where is card accepted,card_acceptance
What steps are taken to transfer money into my account?,transfer_into_account
I was declined when I tried to withdraw cash!,declined_cash_withdrawal
Why haven't I received a refund yet?,Refund_not_showing_up
Where are the virtual cards?,getting_virtual_card
My card is about to expired what will happen?,card_about_to_expire
"I see an extra $1  charge on my statement, why is this?",extra_charge_on_statement
"Something is wrong with the top up! I'm a regular customer and use your service all the time, usually this works but now it just shows up as pending",pending_top_up
I have a duplicate payment on my card.,transaction_charged_twice
There's an error with the rate that is charged.,card_payment_wrong_exchange_rate
What's the top-up limit?,top_up_limits
I am interested in a Visa or Mastercard. Do you offer them?,visa_or_mastercard
You applied the wrong exchange rate while I was traveling outside the country.,wrong_exchange_rate_for_cash_withdrawal
Why has my money been returned back to my card.,reverted_card_payment?
My card payment wasn't accepted.,declined_card_payment
How long before a check I send clears?,top_up_by_cash_or_cheque
Do I pay extra for exchange?,exchange_charge
The cheque I sent to you to have deposited a couple days ago has not cleared in my account yet. What is the issue?,balance_not_updated_after_cheque_or_cash_deposit
Will the system automatically update once there is no more money left?,automatic_top_up
I need to order a new card.,order_physical_card
how long does it take to get my card i am in a rush,card_delivery_estimate
Why was my withdrawal declined,declined_cash_withdrawal
I think I was charged a different exchange rate than what was posted at the time.,wrong_exchange_rate_for_cash_withdrawal
Was my transaction reverted with my card?,reverted_card_payment?
Is there a fee to top up by bank transfers?,top_up_by_bank_transfer_charge
What currency can I use to pay for a top up?,supported_cards_and_currencies
I hope you can help me. My account has been compromised from a different town that I haven't been to. Can you please place a hold on my account until I can make it to the bank?,cash_withdrawal_not_recognised
I'd prefer Mastercard.,visa_or_mastercard
I have exceeded all my PIN tries,pin_blocked
I seem to be unable to make any transactions.,card_not_working
I paid with a card and there is an extra charge. Why?,card_payment_fee_charged
Why was I charged a fee when making this transfer when I shouldn't have been?,transfer_fee_charged
I withdrew cash abroad and the exchange rate applied is wrong.,wrong_exchange_rate_for_cash_withdrawal
Everything was stolen from me.  I can't use the app.  Please advise.,lost_or_stolen_phone
Hello I changed my mind and really need a refund on something I bought recently. Can you please cancel the transaction and get me my money back. Please it's urgent.,request_refund
There is a  €1 fee on my account I didn't authorize,extra_charge_on_statement
Do I need to do something to get a new card once it expires?,card_about_to_expire
"top up google pay, is it possible?",apple_pay_or_google_pay
I could not get the ATM to work,declined_cash_withdrawal
Why was my atm withdrawl declined,declined_cash_withdrawal
"I have a transfer from the US, How long is the wait?",transfer_timing
Can I pay more to get it deliver quicker?,card_delivery_estimate
Is American Express supported for adding money into my account?,supported_cards_and_currencies
My card doesn't seem to work.,card_not_working
"I have been charged to much for the object I bought when abroad, the exchange rate seems to be wrong.",card_payment_wrong_exchange_rate
Are there any charges for using a bank card to top up,top_up_by_card_charge
explain the interbank exchange rate,exchange_rate
how can the money machine keep my card what do i need to do?,card_swallowed
"I received my Virtual card information, but was unable to use it to make a purchase. Why did this happen and what can I do?",virtual_card_not_working
Do you have any fees if I want to add money using an international card.,top_up_by_card_charge
Does it cost anything to do currency exchanges?,exchange_charge
There is a direct debit patentp that I haven't authorized.,direct_debit_payment_not_recognised
why is there a service fee on my statement?,extra_charge_on_statement
What do I have to do to change my pin?,change_pin
Can you tell me what currencies I can use to add money?,supported_cards_and_currencies
It appears I have a fee in my statement.,extra_charge_on_statement
Why have I not yet received my virtual card?,getting_virtual_card
I had a decline on my card. Why?,declined_card_payment
